"","from_name","message","created_time","type","link","story","likes_count","comments_count","shares_count"
"1","Initium Media 端傳媒","#晚安小端","2017-11-14T15:30:00+0000","photo","https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/911539189022634/?type=3",NA,82,0,5
"2","Initium Media 端傳媒","2017年11月12日，伊朗與伊拉克邊界地區晚上發生7.3級強烈地震，至今造成超過450人死亡、逾7,000人受傷。有生還者在倒塌的房屋附近生活取暖。<U+2800>
<U+2800>
November 12, 2017 - Residents huddle by a fire in an open area following a 7.3-magnitude earthquake at Sarpol-e Zahab in Iran's Kermanshah province. At least 450 people were killed and 7,000 more injured when a 7.3-magnitude earthquake shook the mountainous Iran-Iraq border triggering landslides that were hindering rescue efforts, officials said.<U+2800>
<U+2800>
攝：Pouria Pakizeh/AFP/Getty Images<U+2800>
<U+2800>
#伊朗 #伊拉克 #地震 #端傳媒 #端影像 #Iran #Iraq #Earthquake #Initium #InitiumPhoto","2017-11-14T14:57:41+0000","photo","https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/911598032350083/?type=3",NA,17,0,2
"3","Initium Media 端傳媒","【在香港國際詩歌之夜，崔健、周雲蓬唱破「天機」】

「因為生活和偉大的作品之間／總存在某種古老的敵意」
——奧地利詩人里爾克

苦難是詩歌的源泉，是生活的苦難和壓迫讓詩歌超越了歷史、民族、宗教、意識形態，甚至語言的邊界。

本月21-26日，第五屆「香港國際詩歌之夜」將以「古老的敵意」為主題，在本地多所大學校園舉行。其中 22 日的開幕音樂會「天機」還請來了著名搖滾歌手崔健，連同民謠歌手周雲蓬、獨立音樂人仲佐擔綱演出，香港實驗音樂人、策展人李勁松擔任音樂總監。

活動：開幕音樂會「天機」
演出：崔健、周雲蓬、仲佐等
製作：Noise Asia Production
時間：2017年11月22日 晚上8時30分
語言：普通話
地點：九龍塘窩打老道224號香港浸會大學·大學會堂
購票：https://www.chineseupress.com/

協辦單位「香港中文大學出版社」為端會員提供了購票九折的優惠，特此鳴謝！

▍用你選擇的媒體，決定你看見的世界 ▍
加入會員 <U+27A4> http://bit.ly/2lG8JeA
#端傳媒","2017-11-14T13:00:00+0000","photo","https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/911386115704608/?type=3",NA,23,1,3
"4","Initium Media 端傳媒","▇ ▇#圓桌話題：馬雲成武林高手？！這是「有錢的任性」嗎
▇ ▇點擊加入討論：http://bit.ly/2zX9hUb

馬雲曾表示自己有畫畫、演戲和唱歌的夢想。《攻守道》裡，他作為主角輕鬆擊敗甄子丹、李連杰等主演的其他武林高手。

「夢想還是要有的」，沒有萬一，馬雲實現了。而對於賺錢，他說，「我對賺錢的興趣還真不大」。

你會選擇一份能賺錢的工作，然後再用賺到的錢履行自己的理想嗎？
============================
▍限時特惠，一天1港幣暢讀端 ▍
加入會員 <U+27A4> http://bit.ly/2lG8JeA
#端傳媒","2017-11-14T12:30:00+0000","link","http://bit.ly/2zX9hUb",NA,115,26,15
"5","Initium Media 端傳媒","如果你想要見證歷史，緬甸絕對是獨一無二的選擇。

本週五，一起來聽喬治歐威爾和昂山素姬的緬甸故事

日期：2017年11月17日（星期五）
時間：19:30 － 21:00
地點：端傳媒香港辦公室（北角英皇道663號千禧廣場1907室）
費用：免費入場
報名方式：http://bit.ly/2iexIll
語言：廣東話

「緬甸深度遊」：http://bit.ly/2zBIMTE

▍用你選擇的媒體，決定你看見的世界 ▍
加入會員 <U+27A4> http://bit.ly/2lG8JeA
#端傳媒","2017-11-14T11:31:00+0000","event","https://www.facebook.com/events/493583491021315/","Initium Media 端傳媒 shared their event.",14,0,0
"6","Initium Media 端傳媒","【關於緬甸，從喬治歐威爾到昂山素姬】

如果你想要見證歷史，緬甸絕對是獨一無二的選擇。

歷經60多年的殖民時期，和半個世紀獨裁的軍政府統治，原本璀璨繁盛的文明古國，卻變成世界開發度最低的國家之一。而隨著昂山素姬登上政治舞台，緊接著的議會和總統大選，緬甸似乎正在走向一個民主開放的全新國度。

仰光的書攤上依舊擺著喬治歐威爾的《1984》供人傳閱，而昂山素姬的畫像也時刻高掛在街頭，今天的緬甸嚮往著未來又被過去所束縛<U+22EF><U+22EF>

這次，我們特別邀請到東南亞專家、GLO Travel 共同創辦人張振華，帶大家站在歷史的拐角，看看這個正在醞釀著巨變的當代緬甸。

－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
日期：2017年11月17日（星期五）

時間：19:30 － 21:00

地點：端傳媒香港辦公室（北角英皇道663號千禧廣場1907室）

費用：免費入場

報名方式：http://bit.ly/2iexIll

語言：廣東話

主講人介紹

張振華 Jamie
GLO Travel共同創辦人，大學修讀環球研究和法律，但偏偏旅行和政治才是令他醉心的興趣。曾經八次到訪緬甸，廣泛結交當地政客、傳媒、初創企業及旅遊業者，現兼任新城電台節目的客席主持，評論東南亞的時事和新聞。

＊提交表單後，我們將會在1～2個工作日內以電郵通知報名是否成功。

「緬甸深度遊」：http://bit.ly/2zBIMTE","2017-11-14T11:27:22+0000","event","https://www.facebook.com/events/493583491021315/","Initium Media 端傳媒 added an event.",3,0,0
"7","Initium Media 端傳媒","【晚報：緬甸軍方就羅興亞人道危機作內部調查自證清白，遭國際特赦組織質疑】http://bit.ly/2icFBYu

工作了一天，看看今天不能錯過的新聞：

1. 緬甸軍方發表內部調查報告，聲稱士兵未曾殺害若開邦羅興亞人，亦沒有強姦當地婦女。但國際特赦組織（AI）指摘緬甸軍方企圖掩飾真相，並敦促緬甸當局容許聯合國調查員到當地調查。

2. 香港「新界東北案」13名被告早前因律政司提出刑期覆核，被改判監禁8至13個月，其中12名被告就刑期提出上訴；高等法院上訴庭今天批准其中8人的上訴申請。

3. 澳門「新澳門學社」立法會議員蘇嘉豪因去年參與遊行時，被指涉嫌在特首官邸外非法集會，早前被控「加重違令罪」；澳門立法會章程及任期委員會將於週四（16日）開會，討論是否中止其議員職務。

4. 「香港眾志」秘書長黃之鋒、常委林朗彥今天向高等法院入稟，就選舉條例中規定被判監3個月以上人士在5年內不能參選的條文提呈司法覆核。

5. 美國總統特朗普提名前藥廠高層阿札（Alex Azar）出任<U+885E>生部長，打破該職通常由民選官員或醫學界人仕出任的慣例，但亦引發利益衝突爭議。

6. 南韓電視台 MBC 的大股東放送文化振興會以大比數通過解除 MBC 社長金長謙的職務，意味 MBC 工會自今年9月展開的大規模罷工即將結束。

7. 《時代》雜誌報導，再有一名女性聲稱曾遭美國前總統布殊（George H. W. Bush；老布殊）性<U+9A12>擾，令連日來公開聲稱曾被老布殊性<U+9A12>擾的女性增至6人。

#端傳媒 #晚報

=======================
▍用你選擇的媒體，決定你看見的世界 ▍
加入會員 <U+27A4> http://bit.ly/2lG8JeA","2017-11-14T10:39:20+0000","link","http://bit.ly/2icFBYu",NA,9,0,1
"8","Initium Media 端傳媒","【一場道德審判之下，來聽聽鄭捷辯護律師的努力】

中國留學生江歌在日本的寓所前被殺害，其好友劉鑫在江歌門外被刺傷而自己未出門，事後沒有悔過的態度，甚至指責江歌母親持續騷擾她的生活，激起大量網友憤怒。

去年6月30日，鄭捷被執行死刑後，其辯護律師黃致豪曾做過一場演講，談他接手鄭案的態度與思索，他說：「這是律師的考驗。我們該如何讓人民接受，鄭捷依然是個人？」……

▍用你選擇的媒體，決定你看見的世界 ▍
加入會員 <U+27A4> http://bit.ly/2lG8JeA
#端傳媒","2017-11-14T09:00:00+0000","link","http://bit.ly/2msdoBJ",NA,219,3,52
"9","Initium Media 端傳媒","【即時】新東案8名示威者上訴許可獲批，我們專訪了為這12人提起上訴的律師郭憬憲 http://bit.ly/2moSmDH

今日下午3時許，早前被律政司成功覆核刑期的13名為新界東北發展案闖進立法會大樓的被告，其中12人提出上訴。上訴庭頒下判詞，批准當中8人的上訴許可，包括社民連副主席黃浩銘、社運人士何潔泓和前學民思潮成員朱偉聰。

============================
▍用你選擇的媒體，決定你看見的世界 ▍
加入會員 <U+27A4> http://bit.ly/2lG8JeA

#端傳媒","2017-11-14T08:25:23+0000","link","http://bit.ly/2moSmDH",NA,28,1,3
"10","Initium Media 端傳媒","2017年11月5日，德國，有環保人士趁西部城市波恩於11月6日至19日舉行聯合國氣候變化大會到同樣在西部的城鎮埃爾斯多夫附近的一個礦場示威，抗議化石能源帶來的污染，有維持治安的警員在礦場裡的一輛挖掘機後面走過。<U+2800>
<U+2800>
November 5, 2017 - Policemen are seen behind a bucket-wheel excavator as they secure the area of the Hambach lignite open pit mine near Elsdorf, western Germany, during a protest of environmentalists against fossil-based energies like coal, having negative impact on the climate change. The nearby western city of Bonn will host the UN Climate Change Conference (COP23) from November 6 to 19.<U+2800>
<U+2800>
攝：Sascha Schuermann/AFP/Getty Images<U+2800>
<U+2800>
#德國 #波恩 #礦場 #聯合國氣候變化大會 #礦場 #化石能源 #氣候變化 #端傳媒 #端影像 #Germany #Bonn #COP23 #Mine #FossilFuel #Climate #Change #Initium #InitiumPhoto","2017-11-14T05:56:48+0000","photo","https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/911402699036283/?type=3",NA,35,1,2
