"","from_name","message","created_time","type","link","story","likes_count","comments_count","shares_count"
"1","報導者 The Reporter","【一天一導演專訪，一路看到 #金馬獎！】

#詹京霖 以《#川流之島》接連獲得金鐘獎、台北電影節，並入圍今年的金馬獎 #最佳新導演。

從新聞、法律轉身走向電影創作的他，如何在225萬預算、12天拍攝期的雙重考驗下，創作這部以 #國道收費員 為主角的電影？

尹馨 鄭人碩 #導演專訪 #報導者 #年年金馬獎都有特別企劃","2017-11-14T11:33:00+0000","link","https://www.twreporter.org/a/director-chan-ching-lin",NA,226,0,25
"2","報導者 The Reporter","【廢墟裡的少年－兩萬名被遺忘的高風險家庭孩子】http://bit.ly/2zrLAA8

台灣有多達兩萬名高風險家庭孩子，長年處於貧窮、暴力、家庭失能的處境，有如生活在廢墟之中，他們得不到老師、親友的關懷，幸運的，還能靠自己的雙手求生存，不幸的，就從此陷入長期的困頓裡。

他們在農場與工廠裡搬運、做水泥裝潢、舉牌人、婚宴服務生、夜市叫賣者、洗頭小妹、便利店店員<U+22EF><U+22EF>，他們完全逸出法律規定，在勞動體系裡被雇主或工作環境剝削。我們在這群少年身上，目睹貧窮如何一代代複製。

11月22日，來 #與報導者面對面！
總主筆李雪莉、記者簡永達，將帶你看見台灣如何遺漏這群邊緣少年？社會和企業又如何能為他們打開機會之門？

並共同探討如何給予失家、失學少年一個活下去的機會？如何檢視國家的少年政策，接住每個需要協助的少年？

---------【講座資訊】---------

與談：蔡坤湖法官（台北地方法院少年法庭法官）、陳旺德（離開安置機構少年/政大社工所研究生）
主講：李雪莉（《報導者》總主筆）、簡永達（《報導者》記者）
主持：沈清楷（比利時魯汶大學哲學博士）


時間：11月22日 19:30 - 21:30
地點： 慕哲咖啡館地下沙龍 (台北市紹興北街 3 號 B1)

＊怎麼報名？
對談活動免費入場，請直接入座。

＊有直播嗎？
沒有喔！歡迎現場參與討論：）

#關鍵時刻如果有人拉他們一把
#保護孩子應該是國家不惜成本都該做的事","2017-11-14T09:13:43+0000","event","https://www.facebook.com/events/746040545592249/","報導者 The Reporter added an event.",512,14,0
"3","報導者 The Reporter","【失去夫家又不敢回娘家，她們成為比底層更底層的人】

「反正我現在只想死。」劉阿姨總是笑笑地說她對人生的無奈。

全台列冊遊民中，女性僅佔1成。因為人數少，不太受媒體社會關注，想要在街頭求生，將近7成的女街友只能用身體找靠山…

<ed><U+00A0><U+00BD><ed><U+00B1><U+00A5>[#特企] 窮活在都市邊緣的人>> http://bit.ly/2wZ5zaz
<ed><U+00A0><U+00BD><ed><U+00B1><U+00A5>2020年美國不再有遊民？http://bit.ly/2gsDXin

#台大小田野 #無家者 #街友 人生百味 NPOst 公益交流站 #報導者 #父權","2017-11-13T09:02:00+0000","link","https://www.twreporter.org/a/female-homeless",NA,1529,11,326
"4","報導者 The Reporter","【當事件結束後，#攝影 還能留下什麼？】

「我認為創作要跟它所處的時代有所呼應，不應該只是一股被動的風潮，大家流行什麼就去拍什麼。」

姚瑞中是台灣當代不可忽略的藝術家，1997年代表台灣參加 #威尼斯雙年展，他的作品長期貼合社經脈動，提出「正統性」的批判思維！

#蚊子館 #本土化論戰 #失落社會檔案室 姚瑞中 #報導者 #觀念攝影","2017-11-12T11:40:00+0000","link","https://www.twreporter.org/a/photo-interview-yao-juichung",NA,164,0,20
"5","報導者 The Reporter","【NPOst 公益交流站好文分享】印度女街友都麗的故事

都麗是家中最小的女兒，被強迫嫁到姐姐的夫家，以挽救不孕姐姐的婚姻。但丈夫娶她只是想要她的嫁妝：1輛摩托車。

因不堪丈夫暴力相向與賭博成性，都麗帶著女兒和兒子逃家，但後來兒子被丈夫帶回，她和2個女兒卻從此流浪街頭…

<ed><U+00A0><U+00BC><ed><U+00BF><U+00A0>幫街友找個家，美國猶他州的成功經驗>> http://bit.ly/2AAU1t1
<ed><U+00A0><U+00BD><ed><U+00B1><U+00A5>[#特企] 窮活在都市邊緣的人們>> http://bit.ly/2wZ5zaz

#街友 #無家者 #父權 #報導者","2017-11-12T04:05:00+0000","link","http://npost.tw/archives/37586",NA,228,3,20
"6","報導者 The Reporter","【#閱讀現場 X  #安書宅】＃台灣，水火相爭的產物

以前只會說澎湖的石頭是玄武岩，現在明白這體質有雙親的遺傳：火山爸爸給了小島們火的基因沒錯，但如果沒有海洋媽媽給予水的基因，小島也不會是現在豐富美麗的樣子。

＃億萬年尺度的臺灣 衛城出版 澎湖逍遙遊   ＃澎湖 ＃書評 ＃報導者","2017-11-11T04:00:00+0000","link","https://www.twreporter.org/a/bookreview-between-tectonic-plates-geoparks-in-taiwan",NA,149,0,14
"7","報導者 The Reporter","【＃後續追蹤】與其無效催生 不如好好照顧身邊的孩子

彰化火鍋店日前發生氣爆意外，後傳出店主並未幫受傷的16歲工讀生納保——究竟台灣還有多少青少年，努力生活卻權益不彰？相關單位可以怎麼做？>>http://bit.ly/2hpjOzG

文／簡永達

11月10日上午，立法委員劉建國、李麗芬協調各部會與民間團體，與《報導者》共同舉行「廢墟裡的少年－－看見他們，幫助增能」公聽會。來自北、中、南近15個青少年NPO與會，分享第一線看到的「土豆們」困境，會中專家建請勞動部成立少年就業輔導單位、並修改 《＃勞工保險條例》，讓微型企業也強制納保，從保障就業安全開始，逐步強化這些少年的社會保護網。

《報導者》11月初推出《＃廢墟裡的少年》深度專題，揭露台灣高達兩萬名高風險少年，因家庭失能、社會資源未逮，不僅成為從事高危險行業的童工、部份少年甚至被利用淪為犯罪人口，報導引起相關單位重視，也引發極大迴響，不少讀者寫信與電話詢問提供這群少年少女工作機會與教育經費的可能，特別對於故事裡噴農藥的「土豆」的處境感到不捨。

台南永康的陽光真愛青少年關懷協會總幹事許素芬，投入風險少年的安置與照顧長達35年，她一上台就止不住淚水，她說，過去一周，送走兩個輔導過的少年。

「有兩個孩子自殺死掉，我希望我堅強。一個是國中籃球場自殺上吊死掉，他很認真在塑膠工廠工作，但沒有家庭，自殺了。另一個是小孩子（指少年）養小孩子，面對感情受挫，自殺死掉。」

許素芬反問：「我們（政府）鼓勵人家結婚生子，但現在已有的少年，失家的少年，我們為什麼不能好好照顧？」

來自台中的張秀菊基金會主任彭俊雄也表示，他輔導少年9年，也做過生輔員，他遇到太多的「都市土豆們」。他說，在六都，即使大台中市也只有一個青少年中心。

「離開台北這個圈，我們是另一個國度的人」，他懷疑，政府的資源到底在哪裡？他說，社工是一群沒有工具與資源，就算石頭也得拿來用的人。

長期協助少年的民間單位都認為，最大的困境是政府給少年的資源太少，而且是分割式、未整合，更未把少年當做重要的關注議題。

宜蘭得安關懷協會李建清執行長說，他們很努力地服務失學失業的「雙失」少年，但最大的困難是「我們很努力做，但很難撈到學生」。他說，儘管長期承接教育部青年署的計畫，但中輟及中離生通報屬於教育部國教署，而高職生又牽涉技職司，光是同個部會都沒有資料整合。

究竟怎麼「看見」邊緣少年並找出他們，提供他們就業與學習的需要？政府官員對民間團體 的回應多半是「只要你們把孩子帶來政府部門，我們都有資源可以提供協助」；在場民間團體對於這個被動的回應感到無奈也覺得荒謬。

台灣少年權益與福利促進聯盟秘書長葉大華表示，長期以來，在政府資源分配裡，少年是最後的順序。政府只考慮到催生，但做為未來社會公民的少年們卻是被忽略或跳過的；此外，少年被視為保護性的業務，僅納入衛福與社政部門，但同樣重要的勞動部門，卻未曾把青少年當做業務主體。

失家與家庭失功能的少年，究竟最需要的是什麼？

長期陪伴少年的民間團體認為，少年跟兒童的需求並不相同，少年是要自立，要就業培訓 ，才能成為社會成熟的公民。

乘風少年學園副執行長李君儀說，少年需要的可能只是一個長期穩定的社工，能陪伴他們找工作、投履歷。但政府政策將少年切割成不同服務流程，讓第一線社工疲於奔命，難以做到預防性的家庭服務。

長期關心少年議題的監察委員王美玉也參與此次公聽會，她說將持續監督各部會落實少年照顧，一方面提昇兒少保社工人力與待遇，解決社工流動率、經驗無法傳承的問題，另一方面要求社家署以全人觀點看待少年服務，應重視少年的生命權與人格權。

建議未來必須強制納保，以確保面臨職災時有所保障 ；另外，公聽會也建議勞動部成立青少年就業輔導單位，統一規劃青少年就業政策、專責人力與預算，並協助弱勢青少年穩定就業、具體提昇職場能力。

劉建國表示，此次公聽會不會流於形式，他會持續監督各部會推展少年服務。他也將行文行政院，建議將來衛福部主責，定期召開跨部門聯繫會議，協調、整合少年的服務資源。

★完整《廢墟裡的少年》專題內容>> http://bit.ly/2zmPT2u
★【#贊助我們】>>http://bit.ly/supporttwreprter

台灣少年權益與福利促進聯盟 蔡英文 Tsai Ing-wen 中華民國行政院勞動部 中華民國立法院 中華民國監察院  劉建國  李麗芬   #兒少權益 ＃高風險家庭  #報導者","2017-11-10T11:08:51+0000","link","https://www.twreporter.org/topics/high-risk-youth-left-in-relic",NA,330,4,47
"8","報導者 The Reporter","【＃圖文故事】城 市 焦 慮 

生活在這個城市，是焦慮的。熙攘不看路的人潮，高樓大廈之下的壓迫感，曾經一度，我害怕人潮。這對身為一位攝影記者而言並非好消息，你如何面對充滿人的新聞現場？

<U+25B6><U+FE0E>週末沒事做？來看展吧
<U+30FB>城市焦慮攝影展 
<U+30FB>展出地點：美蘿咖啡館
<U+30FB>台北市民生東路四段55巷30號
<U+30FB>展出日期：2017/11/11至12/10

＃攝影 ＃城市 ＃好想逃離 #在地傳真  ＃報導者","2017-11-10T03:30:00+0000","link","https://www.twreporter.org/a/photo-city-anxiety",NA,244,0,39
"9","報導者 The Reporter","【葉大華專欄】國家能否讓他們的人生也有基本尊嚴？

弱勢少年首次工作年齡：15.23歲，很多人還不懂柴米油鹽的年紀。即使兒少法明文規定，勞工主管機關應提供個別化就業輔導資源，但這從來就不是他們放在心上的業務...

★【一人一信　請總統捍衛兒少人權 】>>http://bit.ly/2m6Q8c6
11月20日是國際兒童人權日，聯合國兒童權利委員會也將來台，為兒少的處境和人權政策把脈。在此邀請各位讀者共同關心兒少權益，成為改變兒少處境的力量>>http://bit.ly/2m6Q8c6

★《#廢墟裡的少年》專題內容>> http://bit.ly/2zmPT2u
★【 #贊助我們】>>http://bit.ly/supporttwreprter

台灣少年權益與福利促進聯盟 蔡英文 Tsai Ing-wen 中華民國行政院 勞動部  #兒少權益  ＃高風險家庭  ＃一人一信請總統捍衛兒少人權  ＃報導者","2017-11-09T03:27:00+0000","link","https://www.twreporter.org/a/opinion-how-youth-in-trlic-lives-with-dignity",NA,315,3,37
"10","報導者 The Reporter","【活下去，都是一場搏鬥】http://bit.ly/2zrLAA8

「我會看人家說，大家家境都很好，那我就會回過頭來想我自己啊。我哪會按呢，很衰，出生在這種的(家庭)。」16歲的阿姚從小被放養，小四就出陣頭，「我早餐沒錢買，沒路，就去會館，去一次(陣頭)，擋得了一禮拜...」

★想瞭解阿姚更多，請看完整報導>> http://bit.ly/2zrLAA8
★《#廢墟裡的少年》專題內容>> http://bit.ly/2zmPT2u
★【#贊助我們】http://bit.ly/supporttwreprter

#關鍵時刻如果有人拉他們一把 ＃高風險家庭 #好文值得多讀幾遍 ＃報導者","2017-11-08T13:00:00+0000","video","https://www.facebook.com/twreporter/videos/1984294751818387/",NA,926,9,125
